,new_cases
49199,0
57840,0
21612,0
39742,1
68712,0
25201,1
42991,0
27709,1
42166,1
16188,1
56136,1
39730,0
69747,1
68822,1
39475,1
27643,1
72325,1
34013,1
20488,1
54041,1
36473,1
21052,1
66718,0
12385,0
2298,1
51347,1
49765,1
74292,0
7808,0
65816,1
76515,1
1221,1
70672,1
3714,1
17605,1
25881,0
53795,1
37737,1
22147,0
61746,1
29560,0
16848,1
41236,1
7416,1
3047,1
32617,0
17446,1
66782,0
55593,1
6409,0
23126,1
9580,1
32392,0
33773,1
66112,1
4026,0
63555,1
19836,0
27454,0
11941,0
58036,0
23909,1
8277,0
31713,1
60443,1
11076,0
65508,1
41802,1
45962,0
35295,1
28480,1
60201,1
27705,1
72235,1
2388,0
42021,0
68282,0
32848,1
69375,0
49794,0
36896,1
39570,1
69573,1
3882,1
53866,1
13810,0
69121,0
59554,1
14682,1
43393,1
36057,1
27890,0
18875,1
48573,1
4230,1
66103,1
13911,1
11373,0
56895,1
72382,1
74526,1
22175,1
30007,0
14448,1
5118,1
55736,1
46036,1
40238,0
40014,1
30751,1
29260,1
24344,0
54071,1
55657,1
56910,1
35170,1
44667,1
38572,1
22317,1
25965,1
54507,1
38141,0
51475,1
31084,1
8909,1
14888,1
54204,1
22352,1
36477,1
39118,0
58957,0
27054,0
31081,1
55072,1
68826,0
14090,1
39005,1
36399,1
4940,1
12955,0
40944,1
32774,1
23881,1
16336,1
10035,1
73789,1
27896,0
26322,1
33425,1
56269,1
60630,1
11759,0
54769,0
41301,1
64072,1
30762,1
35784,1
15520,0
45688,1
10308,0
66444,1
47050,1
70307,1
26164,0
49043,1
53545,1
37239,1
8817,1
36459,1
37831,1
45861,0
57951,0
24010,1
32285,0
35904,1
74311,0
44536,0
70057,1
52419,0
46792,1
63904,1
41202,1
6698,1
40253,1
73885,0
31371,0
11599,0
64246,1
69255,0
61044,0
76134,1
60249,1
38094,0
21046,1
44056,1
20255,0
25828,0
65559,1
67020,1
53236,1
27827,1
44033,1
27665,1
52717,1
9804,1
24266,0
40417,1
17037,1
43503,1
19557,0
27750,1
51430,1
27698,1
76388,1
28509,1
712,1
42133,1
74585,1
35100,0
72904,1
68158,1
22429,1
43117,1
48142,0
10463,0
4155,1
67399,1
22663,1
46251,1
38680,1
51563,1
61166,1
12656,1
21115,1
3835,1
11392,0
10874,1
6424,0
10536,0
1182,1
45118,1
57542,0
564,1
33671,1
74155,0
9248,0
42570,1
14829,1
40763,1
44977,0
1880,1
15217,1
11306,1
68426,0
65025,0
29010,1
4568,1
57188,0
59398,0
21781,1
43090,1
68686,0
61966,1
53193,1
60587,1
18623,1
14536,1
50527,1
14934,1
68435,0
19707,0
40876,1
54171,1
17179,1
8445,0
39201,0
29245,1
36650,1
10693,1
73958,0
31694,1
26010,1
1534,1
47607,1
62060,1
31546,1
54434,1
42106,1
70830,1
52015,1
21010,1
8788,1
38823,1
37312,1
67082,1
5923,1
253,1
63299,1
42199,1
73799,0
48820,1
53611,0
8842,1
5785,1
62461,1
66976,1
26604,1
40746,1
65945,1
54155,1
42806,1
57262,1
6691,1
27989,0
6211,1
3802,1
21713,1
7220,1
52484,1
9146,1
34304,0
58824,1
40361,1
74461,1
76534,1
3627,1
16694,1
64261,1
17642,1
52945,1
11894,0
53393,1
62274,1
62750,0
56101,1
9267,1
10540,0
53466,1
13484,0
7635,0
655,1
22722,1
69223,0
54212,1
26824,1
69465,0
16912,0
6759,0
10741,1
40445,0
9155,1
16567,1
7492,1
70876,1
65456,1
967,1
14972,1
2968,1
67237,0
63233,1
47151,1
17954,1
3348,1
66826,1
74092,0
66739,0
71861,1
24659,1
65821,0
68092,1
23491,1
52008,1
54407,1
28574,1
17090,1
5047,1
30174,1
50205,1
70278,1
3997,1
15572,0
58281,1
8615,1
6373,0
75142,1
42188,1
46789,1
44503,0
15746,0
430,1
60667,1
40637,1
25128,1
6322,1
6425,0
66767,0
55234,1
26821,1
23601,1
38340,0
49130,1
24239,0
51193,1
21851,0
62933,1
74777,0
720,1
7876,1
48856,1
48261,1
58674,0
48912,1
76314,0
50890,1
8063,0
32211,1
50720,1
1272,1
32465,0
32772,1
14108,1
26381,1
25098,1
57121,1
27622,1
10359,0
75164,1
64722,1
59026,1
10192,1
20518,1
37801,0
55676,1
15347,1
33994,1
6166,1
18925,1
61308,0
60439,1
62264,1
18684,1
10173,1
26476,1
65810,1
10216,1
13552,0
63893,1
38707,1
23498,1
30849,1
70319,1
46931,1
18914,1
9069,1
25374,1
32169,1
61356,1
76300,0
22008,1
27295,0
37667,1
51338,1
69226,0
30537,1
71039,1
61679,1
35883,1
32072,1
72068,1
454,1
33278,1
52922,1
37181,1
41649,1
36464,1
7431,1
39512,0
72849,1
33774,1
41885,1
4221,1
65707,0
53045,1
48742,1
41630,0
16851,1
28617,1
15872,1
62251,0
49359,0
66626,0
63480,1
51950,1
36623,1
33771,1
44886,1
62521,1
8105,0
10948,1
46773,1
46261,1
32028,1
71329,1
34183,1
42169,1
40787,1
60226,1
62761,0
46758,1
26106,0
34191,1
6501,0
12570,1
14697,1
70035,1
32889,1
13902,0
38727,1
6329,1
60783,0
53474,1
64661,0
10527,1
24076,1
16904,0
37187,1
38112,0
10829,1
13995,1
38163,0
32395,0
54126,1
9932,1
9645,0
20701,1
62293,1
15755,0
55299,1
46790,1
5173,1
19639,0
60527,1
56111,1
64621,0
2296,1
16658,1
34667,1
60166,1
42066,1
44784,1
42509,1
643,1
9518,0
25066,0
33285,1
5065,1
61270,0
28033,0
48080,0
72480,1
73906,0
31991,1
74924,1
10610,1
8044,1
31380,1
11982,0
20061,1
6948,1
74180,0
64850,1
28607,1
52417,0
46504,0
30665,0
35882,1
42160,1
43045,1
62700,0
2990,1
67153,1
27976,0
61233,1
54221,1
58878,1
40902,1
59173,1
48475,1
820,1
33732,1
29636,1
56913,1
41947,1
6270,1
20548,1
54298,1
21581,0
60008,1
14391,1
21461,1
20206,1
7363,1
42696,1
49816,0
53102,1
37803,1
75128,1
24823,1
61935,0
27155,1
30662,0
1520,1
50904,1
71625,1
13375,0
21681,1
63637,1
41317,0
32131,1
38048,0
71389,1
8385,0
3789,1
27972,0
6702,1
6656,0
13775,0
25621,1
59462,1
51269,1
66421,1
63539,1
9722,0
1583,0
7995,1
18519,1
57105,1
48605,1
2172,1
3757,1
41056,1
19791,0
55999,1
41250,0
46657,1
43731,0
38535,1
52943,1
57363,1
41897,0
38539,1
76334,1
9736,0
56850,1
39581,0
29359,0
21138,1
5414,0
41790,1
32603,0
18416,1
30231,1
39596,1
34212,1
9391,1
19660,0
27069,0
27704,1
9016,1
57704,0
4492,1
25210,1
36338,0
33058,1
38814,1
10299,0
35062,1
10676,1
66637,1
68281,0
8241,1
42295,1
25859,0
50727,1
29313,0
49369,0
5055,1
34109,1
19294,0
10869,1
45115,1
3306,1
67145,1
51604,1
59811,1
60398,1
5953,1
8926,1
36167,1
75407,1
33862,0
30732,1
65502,1
12252,1
48656,1
15541,0
46457,1
37108,1
10093,0
30316,1
51227,1
16861,1
39829,1
56029,1
22039,1
73795,0
54595,1
3913,1
58543,0
35563,0
54344,0
74293,0
13551,0
27668,1
45368,0
68811,1
28592,1
69275,0
66516,1
42068,1
43582,1
65407,1
22484,1
74198,0
15113,1
19469,1
18577,1
5706,1
25546,1
23869,1
24439,0
44096,1
64564,0
67129,1
54415,1
60837,0
61803,1
26967,1
41670,0
74336,0
25383,1
47390,0
20544,1
44335,1
74694,0
71185,1
11493,0
30308,1
69029,1
64764,1
42411,1
40623,1
23046,1
58812,1
74855,0
3403,1
936,1
56928,1
1641,0
9393,1
36947,0
31824,1
20844,1
55288,1
18359,1
54565,1
70618,1
7873,0
34871,1
75084,1
8215,1
58187,0
76257,0
4690,1
410,0
29068,1
63134,0
40529,1
12796,1
68701,0
42843,1
40959,1
13738,1
1792,0
8270,0
3186,1
64424,0
21549,0
56517,1
76232,1
59702,1
72629,0
49807,0
19745,0
21808,0
47619,1
4248,1
62010,1
47343,1
45333,1
38757,1
9035,1
8790,1
50853,1
49753,0
8898,1
48033,1
13190,1
41750,1
13471,1
46702,1
68860,1
55721,1
10713,1
26820,1
58538,0
24785,1
44572,1
32796,1
34981,1
65141,1
69646,1
65760,1
31582,1
73825,0
23541,1
18438,1
7343,1
19258,1
47970,1
14562,1
70050,1
27511,1
56860,1
25742,1
51131,1
62773,0
22208,1
10239,1
51809,1
17719,1
20408,1
40127,0
17180,1
53273,1
54464,1
26788,1
54867,1
22330,1
57781,0
31727,1
51383,1
74742,1
67604,1
12959,0
73587,1
27390,0
18716,1
34792,1
20942,1
2299,1
64090,1
61368,1
30994,1
64392,1
62173,1
16141,1
52040,1
43113,1
37129,1
71999,1
12173,1
226,1
33962,1
20975,1
62726,0
54875,1
40187,0
43166,1
28513,1
24040,1
24187,0
36465,1
11099,0
42518,1
57354,1
55083,1
75263,1
22818,1
57037,1
14174,1
41502,0
7162,0
29651,1
22756,1
41656,0
2935,1
4670,1
28679,0
12687,1
23320,1
7180,1
49024,0
41749,1
8420,1
71750,1
22269,0
63602,1
33852,0
11365,1
9801,0
19848,0
48975,1
2212,1
16245,1
10598,0
15047,1
25862,0
3242,1
65828,0
57898,0
30291,1
4411,1
32718,1
67009,0
1053,1
6312,1
23137,1
573,1
53448,1
40662,1
65314,1
13631,0
40300,1
32516,0
3874,1
46878,1
62375,1
48288,1
66161,1
48045,1
16913,0
39991,1
28463,1
38689,1
47166,1
73289,1
26200,1
47635,1
57575,0
2255,1
22864,1
42651,1
33720,1
41930,1
59590,1
69296,0
2826,1
49528,0
30303,1
50043,1
11421,0
43719,0
11919,1
62794,0
47187,1
74244,0
40802,1
59469,1
68357,1
35953,1
75566,0
53465,1
60099,1
6617,1
5396,0
51839,1
64888,1
25255,1
10579,0
50199,1
31057,1
49822,0
32142,1
42329,1
39354,0
52145,1
17832,1
69313,0
51689,1
49100,1
28600,1
29267,0
36625,1
43421,1
61553,1
57071,1
28623,1
55747,1
70089,0
26174,0
10997,0
18022,1
23295,1
75819,0
55975,1
60922,0
36770,1
52903,1
51937,1
69302,0
1090,1
31173,0
5952,1
42990,1
17444,1
74712,0
20755,1
28881,1
57543,0
62219,1
12814,1
21030,1
38981,1
36548,1
267,1
61749,1
39785,1
75504,1
62138,1
58827,1
9073,1
12060,0
18627,1
19274,1
54372,0
4912,1
45661,1
13325,0
43235,1
48830,1
32111,1
29919,1
13534,1
26131,1
27029,0
29133,1
627,1
59974,1
27942,0
3619,1
9067,1
29120,0
24097,1
22193,1
57657,0
6000,1
11666,1
31234,1
50088,1
31414,0
1846,1
31767,1
23727,0
62905,1
33249,1
68647,0
16598,1
38129,0
8966,1
1934,1
64816,1
36906,1
50598,1
49596,0
34002,1
25164,1
28569,1
58057,0
26977,1
47141,1
9573,1
69547,1
20839,1
30170,0
27836,1
50223,1
74571,1
35087,1
33969,1
75699,1
68598,0
59102,1
40801,1
13925,0
56278,1
56103,1
53083,1
51178,1
1165,1
39514,0
44476,1
3056,1
70868,1
24764,1
8771,1
55664,1
42110,1
19828,0
27004,1
64492,1
35802,1
63111,0
56478,1
32060,1
55639,1
19647,0
37533,1
36856,1
2273,1
4219,1
14074,1
54581,0
49917,1
37254,1
73050,1
9237,1
1041,1
69324,0
10708,1
76556,1
50554,1
14215,1
52456,1
26454,1
53060,1
71165,1
45080,1
12334,1
22926,0
55987,1
68988,1
20887,1
9803,0
6075,1
41985,1
72920,1
24034,1
35277,1
4733,1
70069,1
19980,1
55688,1
44209,0
51059,1
32156,1
24412,0
34618,1
11978,0
54673,1
62843,1
45143,1
33265,1
56434,1
26345,1
12362,1
56504,1
14556,1
21710,0
45171,1
9330,1
11362,1
59077,0
17888,1
68034,1
16824,0
20295,1
74843,0
53336,1
45295,1
42259,1
25441,1
67572,0
9935,1
46302,1
59815,1
19424,0
2726,1
50037,1
16889,1
18005,1
64211,1
46035,0
68528,0
9683,0
60834,0
66711,0
628,1
14634,1
16084,1
36463,1
28331,1
30516,1
29231,0
54966,1
30097,1
9314,1
27092,0
73388,1
33702,1
30874,1
28663,1
6370,1
53816,0
45590,1
15550,1
24422,0
59708,1
63871,1
7952,1
72910,1
42803,1
8075,0
16038,0
17385,1
11425,0
47071,1
64409,1
40362,1
56205,1
6683,1
20216,1
18494,1
35569,0
51610,0
54682,1
56536,1
42496,1
17537,1
48890,1
60046,1
33986,1
62952,0
35599,1
15881,0
68235,0
44071,1
58358,0
3050,1
47260,1
64022,1
18139,1
21692,1
51844,1
5345,1
35353,1
15842,0
27630,1
44038,1
8795,1
46081,1
67718,0
14663,1
44924,1
62379,1
58426,0
76546,1
646,1
9822,0
45568,1
55295,1
50287,1
32897,1
2038,1
2980,1
18790,1
3394,1
36729,1
5847,1
66699,1
48870,0
73813,0
1830,0
4801,1
49885,1
12580,1
73040,1
39052,0
17703,0
74206,0
15490,0
69339,0
31993,1
41309,0
4413,1
54250,1
15922,0
59800,1
30039,1
55437,1
29547,0
45481,0
58624,1
10671,1
75219,1
22633,1
50262,1
59559,1
10801,1
49487,1
2474,0
66311,1
47188,1
19626,0
50285,1
64746,1
55600,1
49418,0
23676,1
22171,1
65401,1
4293,1
46544,0
12506,0
20225,1
52850,1
20356,1
73147,1
15785,0
2691,0
68504,0
24292,0
42134,1
61259,1
28666,1
60940,0
36013,1
36570,1
69892,0
73924,0
74763,1
4609,1
45705,1
1040,1
50995,1
58958,0
75746,0
29401,0
50434,1
28416,1
61559,1
33876,0
7027,1
19556,0
23799,1
9556,0
10305,0
19849,1
28196,0
14792,1
70159,1
70004,0
58523,0
50490,1
68251,0
50991,1
44478,1
73257,1
7519,1
22583,1
12457,0
11400,1
52298,0
3132,1
35722,1
56557,1
56145,1
70605,1
44940,0
54992,1
13290,1
45252,1
70244,0
39641,0
7615,0
75775,0
40654,1
41485,1
30680,1
16231,1
59753,1
68820,1
33703,1
53133,1
32365,0
30626,0
53358,1
64294,1
13659,0
59960,1
14165,0
11702,1
24084,1
7486,1
48016,1
29938,1
54770,0
266,1
63419,1
12993,1
50811,0
52064,1
61022,0
49169,0
71827,0
49578,1
28006,0
43594,0
63953,1
20671,1
25703,1
42939,1
29017,0
26181,0
49016,1
47595,1
36233,1
62374,1
49309,0
74213,0
51108,1
57470,1
39571,0
25520,0
53383,1
37975,0
19160,0
22038,0
6991,1
70187,1
56993,1
17264,1
68449,0
63951,1
53221,1
36904,1
69656,1
221,1
62737,0
55626,1
37217,1
66973,1
6201,1
50854,1
6875,1
35121,1
54480,1
18686,1
34097,1
37189,1
58337,0
59295,0
9263,0
75960,0
33955,1
43197,0
2107,1
40377,1
51577,1
42165,1
18555,1
29612,0
60029,1
41381,1
53137,1
14943,1
48401,1
12019,0
49440,0
3309,1
36577,1
66831,1
57516,0
23153,1
51942,1
40754,1
21454,0
5073,1
15444,0
31493,1
12978,0
53575,0
67545,0
57571,1
57064,1
36954,1
6807,1
59324,0
5300,0
54036,1
65419,1
44625,1
549,1
49926,1
57350,1
39642,0
72477,1
45830,0
38770,1
9841,0
55473,1
14041,1
61982,1
16357,1
10930,1
69997,0
45636,1
73809,0
51495,1
20788,1
26023,1
20385,1
69576,1
37839,1
6738,0
35864,1
75686,1
25783,0
71518,1
51392,1
60995,1
5633,1
49588,0
73592,1
13041,1
13593,0
62801,0
68146,1
63764,1
36997,1
2686,1
21702,0
68425,0
25064,0
4788,1
5537,0
11854,0
49562,0
